threshold,precision,recall,automation_coverage,false_conflict_rate
0.50,0.000,0.000,0.021,0.000
0.55,0.000,0.000,0.021,0.000
0.60,0.000,0.000,0.021,0.000
0.65,0.000,0.000,0.000,0.000
0.70,0.000,0.000,0.000,0.000
0.75,0.000,0.000,0.000,0.000
0.80,0.000,0.000,0.000,0.000
0.85,0.000,0.000,0.000,0.000
0.90,0.000,0.000,0.000,0.000
0.95,0.000,0.000,0.000,0.000
